Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds,ExpperMGS
N-2-Methoxybenzyl-D-gluconamide,0.006775614,0.018375551,0.078450441,0.135322588,0.18065965,0.221602258,0.263865057,0.012994414,0.211296753,0.029968791,72.8
N-2-Methoxyphenyl-D-gluconamide,0.007167018,0.019527711,0.078170125,0.133546359,0.180630902,0.221524777,0.265858717,0.014328485,0.215396387,0.03181877,100
2-Phenylhydrazide-D-gluconic acid,0.00897905,0.022490384,0.078959291,0.135104471,0.185087379,0.229933008,0.274169471,0.01667114,0.223566242,0.034121757,81.1
2-(2-Fluoro)phenylhydrazide-D-gluconic acid,0.010358448,0.023398171,0.078920319,0.139034466,0.189753867,0.233033103,0.278451305,0.017699708,0.227071106,0.036778535,68.7
N-1-Naphthyl-D-gluconamide,0.007849147,0.0174413,0.071936588,0.132646928,0.178179397,0.217185421,0.257795333,0.013047602,0.211081271,0.025466065,103.8
1-Deoxy-1-[(2-fluorophenylmethyl)amino]-D-glucitol,0.00584176,0.018206326,0.076439855,0.13657878,0.184829139,0.223334725,0.267915925,0.011532915,0.213361213,0.027012228,30.5
"1,4-Bis-(D-gluconamide)benzene",0.009616055,0.023780558,0.077540448,0.12463792,0.166337507,0.206051114,0.246806906,0.019605959,0.196382106,0.037873908,66.7
N-octyl-D-galactonamide ,0.005673685,0.017935928,0.086333646,0.146904005,0.189137724,0.225276699,0.267513215,0.011706513,0.21255678,0.024297393,72.2
N-Octanoyl-N-methyl-D-glucamine,0.004755077,0.016059973,0.087539274,0.143692103,0.186068687,0.224366844,0.263895605,0.0088928,0.210005124,0.023964903,66.3
N-Methyl-N-octyl-D-gluconamide,0.005672714,0.015695098,0.080947832,0.135192587,0.176362597,0.210683652,0.250063913,0.010761483,0.198625856,0.02473111,71.9
1-O-Octyl-D-glucitol,0.005611044,0.01634048,0.082490167,0.141042627,0.181602226,0.219822869,0.259916244,0.010925052,0.206376516,0.02397711,59.8
N-Octyl-L-Mannonamide,0.006579566,0.018277451,0.088107248,0.148701405,0.191193866,0.228273965,0.272393983,0.012445332,0.211690986,0.025900647,22
N-Octyl-D-gluconamide,0.005219365,0.017031933,0.088036658,0.148505368,0.191866278,0.2273992,0.269914601,0.009658873,0.214381862,0.024307488,72.4
N-Butyl-erythronamide,0.007746687,0.020532763,0.093660388,0.160062332,0.214726769,0.261736725,0.310607286,0.01506986,0.245339439,0.032054927,71.2
N-Pentyl-erythronamide,0.007216717,0.019399672,0.091084657,0.158816152,0.209544414,0.256186218,0.305071215,0.013159566,0.236204611,0.027678727,73.6
N-Hexyl-erythronamide,0.006299444,0.018989391,0.094586872,0.160820738,0.20996151,0.253254185,0.299422917,0.013182809,0.237687926,0.029023886,68.7
N-Octyl-erythronamide,0.004298322,0.016249311,0.09295079,0.156206326,0.203473525,0.247085774,0.292956619,0.008592373,0.227893731,0.02184108,56.3
N-Octyl-D-gluconamide,0.006319715,0.018533692,0.087700985,0.14711703,0.189339431,0.227187811,0.269764616,0.012084005,0.210218722,0.025768995,12.1
D-gluconamide,0.011311826,0.032130865,0.093833577,0.149193963,0.203375485,0.257547966,0.316451005,0.025421817,0.195618228,0.048397972,52.5
N-Methyl-gluconamide,0.010034613,0.02660175,0.09144703,0.151218908,0.204440799,0.25278556,0.304150386,0.020335918,0.226756568,0.042649557,102.5
N-Ethyl-gluconamide,0.008962671,0.025771742,0.09147865,0.150979865,0.201709701,0.249279167,0.302019478,0.018269169,0.232071194,0.039414509,104.3
N-Propyl-gluconamide,0.008642432,0.023231432,0.089633083,0.148523257,0.198897912,0.245905105,0.292998431,0.017150903,0.224382817,0.035653701,87.3
N-Butyl-gluconamide,0.007821326,0.022297839,0.086283996,0.147546694,0.194657579,0.23879612,0.28369086,0.016269757,0.21453094,0.032503513,22.7
N-Pentyl-gluconamide,0.007961854,0.021104401,0.085033199,0.143924199,0.187580675,0.231327511,0.275657288,0.016032464,0.216146806,0.032190345,12.4
