Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
4-fluorophenyl alpha-d-glucopyranoside,2.95217,939.29243,-1.25,-0.9956,274.08527,1.31579,0.22872,0.5,4,6,0.45603,23.82745,11.70497,4.57198,0.97128,0.5,-1.25,0.00138,4.372,5.80669,3.01779,0.23793,0.95368,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,1.01994,691.16021,0.36456,99.38
4-bromophenyl alpha-d-glucopyranoside,2.95217,939.29243,-0.7,-0.3722,334.0052,1.31579,0.22872,0.5,4,6,0.6519,23.82745,11.70497,5.36497,0.99088,0.5,-0.7,0.00137,4.65538,6.16731,3.24997,0.13472,0.95396,0,1,1,0,1,0,1,6,4,7,1,6,4,2,7,0,1,1,0.95807,694.35873,0.32651,99.38
4-ethoxyphenyl β-d-glucopyranoside,2.8987,1133.08971,-1.38,-0.736,300.1209,1.28571,0.22872,0.57143,4,7,0.48189,29.85774,14.67423,5.04124,0.97567,0.57143,-1.38,0.00097,4.12267,7.05752,3.63416,0.21923,0.89271,0,1,1,0,1,0,1,7,4,7,1,7,4,2,10,0,1,1,0.87449,922.77187,0.19013,108.61
4-propoxyphenyl β-d-glucopyranoside,2.88385,1228.22064,-1.38,-0.3459,314.13655,1.27273,0.22872,0.6,4,7,0.53152,32.35774,15.92423,5.29124,0.98121,0.6,-1.38,0.00104,4.17172,7.75333,3.87585,0.19294,0.92078,0,1,1,0,1,0,1,7,4,7,1,7,4,2,11,0,1,1,0.97981,882.76972,0.21928,108.61
2-methoxyphenyl β-d-glucopyranoside,3.01279,1068.30491,-1.38,-1.1261,286.10525,1.35,0.22893,0.53846,4,7,0.2706,27.35774,13.42423,4.79124,0.9299,0.53846,-1.38,0.00097,4.08464,6.38,2.8652,0.36782,0.91099,0,1,1,0,1,0,1,7,4,7,1,7,4,2,9,0,1,1,0.96658,935.03899,0.36512,108.61
4-trifluoromethoxyphenyl ß-d-galactopyranoside,2.91993,1050.75531,-1.59,-0.2361,340.07699,1.17391,0.5726,0.53846,4,7,0.67389,25.49163,12.49118,5.35819,0.99227,0.53846,-1.59,0.00118,6.37276,6.88876,4.45387,0.12412,0.93218,0,1,1,0,1,0,1,7,4,10,1,7,4,2,8,0,1,1,0.78967,789.60448,0.15931,108.61
2-acetamidophenyl β-d-galactopyranoside,3.06382,1199.78967,-1.71,-1.1763,313.11615,1.54545,0.22884,0.5,5,8,0.24267,29.30495,14.36454,5.28433,0.92118,0.5,-1.71,0.00071,4.65106,7.03333,3.54193,0.38915,0.85379,0,1,1,1,1,0,1,7,5,8,1,8,5,2,9,0,1,1,0.9623,1210.3859,0.32885,128.48
ethyl 4-(β-d-galactopyranosyloxy)benzoate,2.87299,1228.65545,-1.71,-0.958,328.11582,1.3913,0.33761,0.53333,4,8,0.65373,30.76599,15.12836,5.49537,0.99073,0.53333,-1.71,0.00123,4.90077,7.71144,3.98125,0.13586,0.9927,0,1,1,0,1,0,1,8,4,8,1,8,4,2,10,0,1,1,0.95345,804.22565,0.18815,125.68
isopropyl 4-(ß-d-glucopyranosyloxy)benzoate,2.89185,1307.47649,-1.71,-0.5695,342.13147,1.41667,0.33788,0.5625,4,8,0.5962,33.26599,16.37836,5.74537,0.98693,0.5625,-1.71,0.00092,4.92557,7.90883,4.22154,0.16118,0.95132,0,1,1,0,1,0,1,8,4,8,1,8,4,2,11,0,1,1,0.95328,1029.25106,0.17994,125.68
ethyl 4-(β-d-glucopyranosyloxy)benzoate,2.87299,1228.65545,-1.71,-0.958,328.11582,1.3913,0.33761,0.53333,4,8,0.57873,30.76599,15.12836,5.49537,0.98579,0.53333,-1.71,0.00087,4.90077,7.71144,3.98125,0.16801,0.8707,0,1,1,0,1,0,1,8,4,8,1,8,4,2,10,0,1,1,0.67411,995.93659,0.09242,125.68
